"GEOID","NAME","Total","H_Total","majority","hispanic","group"
"06037218110","Census Tract 2181.10, Los Angeles County, California",3195,1845,"H_Other",1,"3001-4500"
"06037218120","Census Tract 2181.20, Los Angeles County, California",4638,3326,"H_Other",1,"4501-6000"
"06037218210","Census Tract 2182.10, Los Angeles County, California",3721,2557,"H_Other",1,"3001-4500"
"06037218800","Census Tract 2188, Los Angeles County, California",2752,1497,"H_Other",1,"1500-3000"
"06037219010","Census Tract 2190.10, Los Angeles County, California",3027,1881,"H_Other",1,"3001-4500"
"06037219020","Census Tract 2190.20, Los Angeles County, California",5411,3352,"H_Other",1,"4501-6000"
"06037219300","Census Tract 2193, Los Angeles County, California",4239,2532,"H_Other",1,"3001-4500"
"06037221120","Census Tract 2211.20, Los Angeles County, California",3197,3070,"H_Other",1,"3001-4500"
"06037221210","Census Tract 2212.10, Los Angeles County, California",3165,2499,"H_Other",1,"3001-4500"
"06037221220","Census Tract 2212.20, Los Angeles County, California",3376,2981,"H_Other",1,"3001-4500"
"06037221303","Census Tract 2213.03, Los Angeles County, California",2806,2134,"H_Other",1,"1500-3000"
"06037221304","Census Tract 2213.04, Los Angeles County, California",3656,2225,"H_Other",1,"3001-4500"
"06037221402","Census Tract 2214.02, Los Angeles County, California",2851,1324,"H_Other",1,"1500-3000"
"06037221500","Census Tract 2215, Los Angeles County, California",3875,2667,"H_Other",1,"3001-4500"
"06037221601","Census Tract 2216.01, Los Angeles County, California",3141,2137,"H_Other",1,"3001-4500"
"06037221602","Census Tract 2216.02, Los Angeles County, California",3030,2548,"H_Other",1,"3001-4500"
"06037221710","Census Tract 2217.10, Los Angeles County, California",2833,1894,"H_Other",1,"1500-3000"
"06037221810","Census Tract 2218.10, Los Angeles County, California",2892,1501,"H_Other",1,"1500-3000"
"06037222001","Census Tract 2220.01, Los Angeles County, California",3142,1945,"H_Other",1,"3001-4500"
"06037222002","Census Tract 2220.02, Los Angeles County, California",5243,3902,"H_Other",1,"4501-6000"
"06037222100","Census Tract 2221, Los Angeles County, California",4331,2558,"H_Other",1,"3001-4500"
"06037222200","Census Tract 2222, Los Angeles County, California",4016,2967,"H_Other",1,"3001-4500"
"06037222500","Census Tract 2225, Los Angeles County, California",5120,3541,"H_Other",1,"4501-6000"
"06037222600","Census Tract 2226, Los Angeles County, California",5549,2889,"H_Other",1,"4501-6000"
"06037224320","Census Tract 2243.20, Los Angeles County, California",2972,2490,"H_Other",1,"1500-3000"
"06037224410","Census Tract 2244.10, Los Angeles County, California",3194,2033,"H_Other",1,"3001-4500"
"06037224600","Census Tract 2246, Los Angeles County, California",3385,2962,"H_Other",1,"3001-4500"
"06037226001","Census Tract 2260.01, Los Angeles County, California",2615,2189,"H_Other",1,"1500-3000"
"06037226410","Census Tract 2264.10, Los Angeles County, California",3665,3592,"H_Other",1,"3001-4500"
"06037226420","Census Tract 2264.20, Los Angeles County, California",5531,4829,"H_Other",1,"4501-6000"
"06037228220","Census Tract 2282.20, Los Angeles County, California",4375,3974,"H_Other",1,"3001-4500"
"06037228310","Census Tract 2283.10, Los Angeles County, California",4523,4263,"H_Other",1,"4501-6000"
"06037228420","Census Tract 2284.20, Los Angeles County, California",3304,3043,"H_Other",1,"3001-4500"
"06037228500","Census Tract 2285, Los Angeles County, California",4869,4121,"H_Other",1,"4501-6000"
"06037228600","Census Tract 2286, Los Angeles County, California",5301,4881,"H_Other",1,"4501-6000"
"06037229200","Census Tract 2292, Los Angeles County, California",5072,4317,"H_Other",1,"4501-6000"
"06037229300","Census Tract 2293, Los Angeles County, California",5715,5007,"H_Other",1,"4501-6000"
"06037231210","Census Tract 2312.10, Los Angeles County, California",4040,3388,"H_Other",1,"3001-4500"
